,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
18,G2 Esports,4,33,0.75,0.2051282051282051,0.0,0.33,0.59,0.51,0.82,0.125,0.51,1.0,0.0566666666666666,0.0,1.0,0.0,0.0,2,38,0.73,0.1578947368421052,0.0,0.25,0.42,0.56,0.875,0.18,0.49,0.9433333333333334,0.0,0.0,1.0,1.0,0.0,1
19,MIBR,2,38,0.73,0.1578947368421052,0.0,0.25,0.42,0.56,0.875,0.18,0.49,0.9433333333333334,0.0,0.0,1.0,1.0,0.0,4,33,0.75,0.2051282051282051,0.0,0.33,0.59,0.51,0.82,0.125,0.51,1.0,0.0566666666666666,0.0,1.0,0.0,0.0,0
20,LOUD,1,23,0.69,0.1428571428571428,0.0,0.33,0.71,0.48,0.7350000000000001,0.255,0.455,1.0,0.0,0.07,1.0,1.0,0.0,3,27,0.76,0.1785714285714285,0.0,0.14,0.67,0.59,0.745,0.265,0.5449999999999999,1.0,0.0,0.0,0.93,1.0,0.0,0
21,2Game Esports,3,27,0.76,0.1785714285714285,0.0,0.14,0.67,0.59,0.745,0.265,0.5449999999999999,1.0,0.0,0.0,0.93,1.0,0.0,1,23,0.69,0.1428571428571428,0.0,0.33,0.71,0.48,0.7350000000000001,0.255,0.455,1.0,0.0,0.07,1.0,1.0,0.0,1
22,Leviatán,1,14,0.58,0.037037037037037,0.0,0.14,0.5,0.31,0.74,0.0425,0.2625,1.0,0.0,0.0,1.0,1.0,0.0,3,23,0.83,0.4,0.0,0.0,0.71,0.75,0.9575,0.26,0.7374999999999999,1.0,0.0,0.0,1.0,1.0,0.0,0
23,Cloud9,3,23,0.83,0.4,0.0,0.0,0.71,0.75,0.9575,0.26,0.7374999999999999,1.0,0.0,0.0,1.0,1.0,0.0,1,14,0.58,0.037037037037037,0.0,0.14,0.5,0.31,0.74,0.0425,0.2625,1.0,0.0,0.0,1.0,1.0,0.0,1
24,Evil Geniuses,1,16,0.59,0.10714285714285714,0.0,0.33,0.33,0.31,0.4575,0.14750000000000002,0.25,0.6666666666666666,0.06666666666666667,0.0,0.5,0.0,0.0,3,20,0.79,0.3333333333333333,0.0,0.0,0.67,0.77,0.8525,0.5425,0.75,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,0
25,Sentinels,3,20,0.79,0.3333333333333333,0.0,0.0,0.67,0.77,0.8525,0.5425,0.75,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,1,16,0.59,0.10714285714285714,0.0,0.33,0.33,0.31,0.4575,0.14750000000000002,0.25,0.6666666666666666,0.06666666666666667,0.0,0.5,0.0,0.0,1
26,100 Thieves,2,27,0.7,0.11428571428571428,0.0,0.25,0.6,0.59,0.8124999999999999,0.2225,0.41500000000000004,0.9433333333333334,0.03666666666666667,0.0,1.0,1.0,0.0,4,37,0.73,0.14285714285714285,0.5,0.0,0.37,0.57,0.7775000000000001,0.1875,0.585,0.9633333333333334,0.05666666666666667,0.0,1.0,1.0,0.0,1
27,LOUD,4,37,0.73,0.14285714285714285,0.5,0.0,0.37,0.57,0.7775000000000001,0.1875,0.585,0.9633333333333334,0.05666666666666667,0.0,1.0,1.0,0.0,2,27,0.7,0.11428571428571428,0.0,0.25,0.6,0.59,0.8124999999999999,0.2225,0.41500000000000004,0.9433333333333334,0.03666666666666667,0.0,1.0,1.0,0.0,0
28,2Game Esports,4,22,0.7,0.16666666666666666,0.0,0.0,0.5,0.45,0.89,0.20500000000000002,0.6375,1.0,0.04,0.0,1.0,1.0,0.0,2,35,0.75,0.125,0.0,0.5,0.5,0.69,0.795,0.10999999999999999,0.36250000000000004,0.96,0.0,0.0,1.0,1.0,0.0,0
29,KRÜ Esports,2,35,0.75,0.125,0.0,0.5,0.5,0.69,0.795,0.10999999999999999,0.36250000000000004,0.96,0.0,0.0,1.0,1.0,0.0,4,22,0.7,0.16666666666666666,0.0,0.0,0.5,0.45,0.89,0.20500000000000002,0.6375,1.0,0.04,0.0,1.0,1.0,0.0,1
30,G2 Esports,3,21,0.76,0.5,0.0,0.0,0.89,0.83,1.0,0.725,0.85,0.9333333333333332,0.0,0.0,0.5,1.0,0.0,1,12,0.67,0.037037037037037035,0.0,0.0,0.25,0.29,0.275,0.0,0.15000000000000002,1.0,0.06666666666666667,0.0,1.0,1.0,0.0,1
31,NRG Esports,1,12,0.67,0.037037037037037035,0.0,0.0,0.25,0.29,0.275,0.0,0.15000000000000002,1.0,0.06666666666666667,0.0,1.0,1.0,0.0,3,21,0.76,0.5,0.0,0.0,0.89,0.83,1.0,0.725,0.85,0.9333333333333332,0.0,0.0,0.5,1.0,0.0,0
32,FURIA,0,13,0.62,0.20689655172413793,0.0,0.0,0.31,0.42,0.525,0.2575,0.52,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,4,23,0.85,0.3076923076923077,0.0,1.0,0.9,0.63,0.7424999999999999,0.475,0.48,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0
33,Leviatán,4,23,0.85,0.3076923076923077,0.0,1.0,0.9,0.63,0.7424999999999999,0.475,0.48,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,13,0.62,0.20689655172413793,0.0,0.0,0.31,0.42,0.525,0.2575,0.52,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,1
34,Cloud9,3,36,0.74,0.13157894736842105,0.0,0.0,0.47,0.55,0.84,0.14250000000000002,0.3375,0.91,0.07666666666666666,0.0,1.0,,,3,38,0.75,0.26666666666666666,0.0,0.25,0.46,0.58,0.8575,0.16,0.6625,0.9233333333333333,0.09000000000000001,0.0,1.0,1.0,0.0,0
35,MIBR,3,38,0.75,0.26666666666666666,0.0,0.25,0.46,0.58,0.8575,0.16,0.6625,0.9233333333333333,0.09000000000000001,0.0,1.0,,,3,36,0.74,0.13157894736842105,0.0,0.0,0.47,0.55,0.84,0.14250000000000002,0.3375,0.91,0.07666666666666666,0.0,1.0,1.0,0.0,1
